JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2464624.500000000, A.D. 2035-Oct-24 00:00:00.0000,  2.147010544045993E+08, -3.271209475003377E+08, -1.376361197832957E+07,  1.454823874501523E+01,  1.173003947758933E+01, -2.035156428420714E+00,  1.305996486826835E+03,  3.915278969251813E+08, -1.751109772328183E+00,
2464625.500000000, A.D. 2035-Oct-25 00:00:00.0000,  2.159562457136307E+08, -3.261047740471541E+08, -1.393933535872249E+07,  1.450706768330261E+01,  1.179247385202353E+01, -2.032508302338626E+00,  1.305492180074184E+03,  3.913767095642182E+08, -1.748592382229020E+00,
2464626.500000000, A.D. 2035-Oct-26 00:00:00.0000,  2.172078674166515E+08, -3.250832115493922E+08, -1.411482835638377E+07,  1.446560899610633E+01,  1.185478563314634E+01, -2.029823489136237E+00,  1.304988603393989E+03,  3.912257410734712E+08, -1.746043327589284E+00,
2464627.500000000, A.D. 2035-Oct-27 00:00:00.0000,  2.184558946680947E+08, -3.240562706631093E+08, -1.429008780008644E+07,  1.442386280701230E+01,  1.191697333906211E+01, -2.027101955171736E+00,  1.304485765915868E+03,  3.910749941899306E+08, -1.743462581302690E+00,
2464628.500000000, A.D. 2035-Oct-28 00:00:00.0000,  2.197003026334554E+08, -3.230239621725339E+08, -1.446511051573533E+07,  1.438182924849467E+01,  1.197903548475359E+01, -2.024343667690505E+00,  1.303983676777186E+03,  3.909244716529101E+08, -1.740850116701790E+00,
2464629.500000000, A.D. 2035-Oct-29 00:00:00.0000,  2.209410664900568E+08, -3.219862969903305E+08, -1.463989332644324E+07,  1.433950846187649E+01,  1.204097058220475E+01, -2.021548594817685E+00,  1.303482345122921E+03,  3.907741762040049E+08, -1.738205907665888E+00,
2464630.500000000, A.D. 2035-Oct-30 00:00:00.0000,  2.221781614278138E+08, -3.209432861578539E+08, -1.481443305260690E+07,  1.429690059729287E+01,  1.210277714050101E+01, -2.018716705552894E+00,  1.302981780105488E+03,  3.906241105870398E+08, -1.735529928709185E+00,
2464631.500000000, A.D. 2035-Oct-31 00:00:00.0000,  2.234115626499920E+08, -3.198949408453963E+08, -1.498872651198217E+07,  1.425400581366043E+01,  1.216445366590988E+01, -2.015847969767175E+00,  1.302481990884547E+03,  3.904742775480120E+08, -1.732822155049857E+00,
2464632.500000000, A.D. 2035-Nov-01 00:00:00.0000,  2.246412453739663E+08, -3.188412723524280E+08, -1.516277051975937E+07,  1.421082427865426E+01,  1.222599866194741E+01, -2.012942358201878E+00,  1.301982986626793E+03,  3.903246798350273E+08, -1.730082562663996E+00,
2464633.500000000, A.D. 2035-Nov-02 00:00:00.0000,  2.258671848319764E+08, -3.177822921078316E+08, -1.533656188863860E+07,  1.416735616869312E+01,  1.228741062943400E+01, -2.009999842469228E+00,  1.301484776505728E+03,  3.901753201982327E+08, -1.727311128326692E+00,
2464634.500000000, A.D. 2035-Nov-03 00:00:00.0000,  2.270893562718819E+08, -3.167180116701342E+08, -1.551009742890479E+07,  1.412360166893291E+01,  1.234868806654205E+01, -2.007020395054394E+00,  1.300987369701430E+03,  3.900262013897465E+08, -1.724507829642569E+00,
2464635.500000000, A.D. 2035-Nov-04 00:00:00.0000,  2.283077349579175E+08, -3.156484427277333E+08, -1.568337394850348E+07,  1.407956097326783E+01,  1.240982946883883E+01, -2.004003989318708E+00,  1.300490775400310E+03,  3.898773261635849E+08, -1.721672645068421E+00,
2464636.500000000, A.D. 2035-Nov-05 00:00:00.0000,  2.295222961714482E+08, -3.145735970991205E+08, -1.585638825311674E+07,  1.403523428433859E+01,  1.247083332932570E+01, -2.000950599503934E+00,  1.299995002794862E+03,  3.897286972755886E+08, -1.718805553929319E+00,
2464637.500000000, A.D. 2035-Nov-06 00:00:00.0000,  2.307330152117252E+08, -3.134934867331018E+08, -1.602913714623915E+07,  1.399062181354705E+01,  1.253169813847548E+01, -1.997860200737308E+00,  1.299500061083411E+03,  3.895803174833460E+08, -1.715906536429936E+00,
2464638.500000000, A.D. 2035-Nov-07 00:00:00.0000,  2.319398673966443E+08, -3.124081237090142E+08, -1.620161742925480E+07,  1.394572378107610E+01,  1.259242238426910E+01, -1.994732769037217E+00,  1.299005959469861E+03,  3.894321895461180E+08, -1.712975573662337E+00,
2464639.500000000, A.D. 2035-Nov-08 00:00:00.0000,  2.331428280635052E+08, -3.113175202369393E+08, -1.637382590151457E+07,  1.390054041591435E+01,  1.265300455223220E+01, -1.991568281319378E+00,  1.298512707163436E+03,  3.892843162247605E+08, -1.710012647611172E+00,
2464640.500000000, A.D. 2035-Nov-09 00:00:00.0000,  2.343418725697736E+08, -3.102216886579142E+08, -1.654575936041380E+07,  1.385507195588466E+01,  1.271344312547231E+01, -1.988366715403409E+00,  1.298020313378422E+03,  3.891367002816473E+08, -1.707017741157048E+00,
2464641.500000000, A.D. 2035-Nov-10 00:00:00.0000,  2.355369762938460E+08, -3.091206414441385E+08, -1.671741460147071E+07,  1.380931864767571E+01,  1.277373658471687E+01, -1.985128050019663E+00,  1.297528787333910E+03,  3.889893444805923E+08, -1.703990838078757E+00,
2464642.500000000, A.D. 2035-Nov-11 00:00:00.0000,  2.367281146358168E+08, -3.080143911991785E+08, -1.688878841840547E+07,  1.376328074687673E+01,  1.283388340835267E+01, -1.981852264816320E+00,  1.297038138253539E+03,  3.888422515867722E+08, -1.700931923054682E+00,
2464643.500000000, A.D. 2035-Nov-12 00:00:00.0000,  2.379152630182494E+08, -3.069029506581672E+08, -1.705987760321979E+07,  1.371695851801382E+01,  1.289388207246650E+01, -1.978539340366605E+00,  1.296548375365229E+03,  3.886954243666487E+08, -1.697840981663879E+00,
2464644.500000000, A.D. 2035-Nov-13 00:00:00.0000,  2.390983968869495E+08, -3.057863326880021E+08, -1.723067894627701E+07,  1.367035223458818E+01,  1.295373105088715E+01, -1.975189258176120E+00,  1.296059507900930E+03,  3.885488655878902E+08, -1.694718000387013E+00,
2464645.500000000, A.D. 2035-Nov-14 00:00:00.0000,  2.402774917117426E+08, -3.046645502875374E+08, -1.740118923638318E+07,  1.362346217911560E+01,  1.301342881522922E+01, -1.971802000690241E+00,  1.295571545096357E+03,  3.884025780192948E+08, -1.691562966607482E+00,
2464646.500000000, A.D. 2035-Nov-15 00:00:00.0000,  2.414525229872542E+08, -3.035376165877740E+08, -1.757140526086856E+07,  1.357628864316706E+01,  1.307297383493731E+01, -1.968377551301635E+00,  1.295084496190731E+03,  3.882565644307109E+08, -1.688375868611949E+00,
2464647.500000000, A.D. 2035-Nov-16 00:00:00.0000,  2.426234662336946E+08, -3.024055448520448E+08, -1.774132380566959E+07,  1.352883192740996E+01,  1.313236457733365E+01, -1.964915894357657E+00,  1.294598370426517E+03,  3.881108275929602E+08, -1.685156695592670E+00,
2464648.500000000, A.D. 2035-Nov-17 00:00:00.0000,  2.437902969976458E+08, -3.012683484761962E+08, -1.791094165541196E+07,  1.348109234164992E+01,  1.319159950766519E+01, -1.961417015167877E+00,  1.294113177049168E+03,  3.879653702777591E+08, -1.681905437648737E+00,
2464649.500000000, A.D. 2035-Nov-18 00:00:00.0000,  2.449529908528536E+08, -3.001260409887651E+08, -1.808025559349385E+07,  1.343307020487268E+01,  1.325067708915254E+01, -1.957880900011574E+00,  1.293628925306854E+03,  3.878201952576401E+08, -1.678622085788128E+00,
