JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2462955.500000000, A.D. 2031-Mar-30 00:00:00.0000, -2.860430063700465E+08, -1.034147341782546E+08,  1.471141840755293E+07,  7.263136229252836E+00, -2.054845835109024E+01, -1.911301050651571E+00,  1.015765024019741E+03,  3.045186933013072E+08,  6.346436664298932E-02,
2462956.500000000, A.D. 2031-Mar-31 00:00:00.0000, -2.854104570058985E+08, -1.051882969413689E+08,  1.454602487335864E+07,  7.379166223691982E+00, -2.050611563331131E+01, -1.917241728924602E+00,  1.015785064105357E+03,  3.045247011678327E+08,  7.560611720134690E-02,
2462957.500000000, A.D. 2031-Apr-01 00:00:00.0000, -2.847678941147220E+08, -1.069581703208995E+08,  1.438012098501332E+07,  7.494929964277722E+00, -2.046305629239302E+01, -1.923114760871987E+00,  1.015808602976978E+03,  3.045317579440143E+08,  8.774459187517673E-02,
2462958.500000000, A.D. 2031-Apr-02 00:00:00.0000, -2.841153409266242E+08, -1.087242924891680E+08,  1.421371259831071E+07,  7.610422227990887E+00, -2.041928238613501E+01, -1.928919889126276E+00,  1.015835639611919E+03,  3.045398633232592E+08,  9.987924538593633E-02,
2462959.500000000, A.D. 2031-Apr-03 00:00:00.0000, -2.834528211221338E+08, -1.104866017983021E+08,  1.404680559108341E+07,  7.725637811517065E+00, -2.037479601886475E+01, -1.934656860897755E+00,  1.015866172830351E+03,  3.045490169518638E+08,  1.120095324770172E-01,
2462960.500000000, A.D. 2031-Apr-04 00:00:00.0000, -2.827803588304783E+08, -1.122450367842435E+08,  1.387940586280680E+07,  7.840571531694272E+00, -2.032959934117222E+01, -1.940325427989023E+00,  1.015900201295320E+03,  3.045592184290187E+08,  1.241349080297049E-01,
2462961.500000000, A.D. 2031-Apr-05 00:00:00.0000, -2.820979786278232E+08, -1.139995361707345E+08,  1.371151933420150E+07,  7.955218225966812E+00, -2.028369454965347E+01, -1.945925346811061E+00,  1.015937723512799E+03,  3.045704673068264E+08,  1.362548271739571E-01,
2462962.500000000, A.D. 2031-Apr-06 00:00:00.0000, -2.814057055354728E+08, -1.157500388732814E+08,  1.354315194683461E+07,  8.069572752843952E+00, -2.023708388665531E+01, -1.951456378400002E+00,  1.015978737831781E+03,  3.045827630903273E+08,  1.483687453929738E-01,
2462963.500000000, A.D. 2031-Apr-07 00:00:00.0000, -2.807035650180289E+08, -1.174964840030964E+08,  1.337430966271922E+07,  8.183629992363246E+00, -2.018976964002078E+01, -1.956918288434579E+00,  1.016023242444392E+03,  3.045961052375341E+08,  1.604761186220522E-01,
2462964.500000000, A.D. 2031-Apr-08 00:00:00.0000, -2.799915829815114E+08, -1.192388108710178E+08,  1.320499846391259E+07,  8.297384846558973E+00, -2.014175414283282E+01, -1.962310847254041E+00,  1.016071235386033E+03,  3.046104931594754E+08,  1.725764033404489E-01,
2462965.500000000, A.D. 2031-Apr-09 00:00:00.0000, -2.792697857714371E+08, -1.209769589914072E+08,  1.303522435211271E+07,  8.410832239933328E+00, -2.009303977315401E+01, -1.967633829876210E+00,  1.016122714535555E+03,  3.046259262202463E+08,  1.846690566579527E-01,
2462966.500000000, A.D. 2031-Apr-10 00:00:00.0000, -2.785382001708586E+08, -1.227108680860244E+08,  1.286499334825322E+07,  8.523967119930271E+00, -2.004362895376194E+01, -1.972887016015544E+00,  1.016177677615446E+03,  3.046424037370661E+08,  1.967535363960181E-01,
2462967.500000000, A.D. 2031-Apr-11 00:00:00.0000, -2.777968533983606E+08, -1.244404780878792E+08,  1.269431149209692E+07,  8.636784457410997E+00, -1.999352415187863E+01, -1.978070190101090E+00,  1.016236122192052E+03,  3.046599249803435E+08,  2.088293011639937E-01,
2462968.500000000, A.D. 2031-Apr-12 00:00:00.0000, -2.770457731060169E+08, -1.261657291450592E+08,  1.252318484182763E+07,  8.749279247129712E+00, -1.994272787889411E+01, -1.983183141294079E+00,  1.016298045675812E+03,  3.046784891737479E+08,  2.208958104314778E-01,
2462969.500000000, A.D. 2031-Apr-13 00:00:00.0000, -2.762849873773052E+08, -1.278865616245344E+08,  1.235161947364055E+07,  8.861446508209395E+00, -1.989124269008300E+01, -1.988225663505164E+00,  1.016363445321517E+03,  3.046980954942862E+08,  2.329525245967954E-01,
2462970.500000000, A.D. 2031-Apr-14 00:00:00.0000, -2.755145247249812E+08, -1.296029161159356E+08,  1.217962148133131E+07,  8.973281284616347E+00, -1.983907118431454E+01, -1.993197555411133E+00,  1.016432318228587E+03,  3.047187430723864E+08,  2.449989050525671E-01,
2462971.500000000, A.D. 2031-Apr-15 00:00:00.0000, -2.747344140889115E+08, -1.313147334353087E+08,  1.200719697588329E+07,  9.084778645633047E+00, -1.978621600375548E+01, -1.998098620471076E+00,  1.016504661341367E+03,  3.047404309919860E+08,  2.570344142486412E-01,
2462972.500000000, A.D. 2031-Apr-16 00:00:00.0000, -2.739446848338662E+08, -1.330219546288422E+08,  1.183435208505389E+07,  9.195933686328733E+00, -1.973267983356605E+01, -2.002928666941878E+00,  1.016580471449438E+03,  3.047631582906259E+08,  2.690585157527555E-01,
2462973.500000000, A.D. 2031-Apr-17 00:00:00.0000, -2.731453667472707E+08, -1.347245209765688E+08,  1.166109295295932E+07,  9.306741528027066E+00, -1.967846540158884E+01, -2.007687507893072E+00,  1.016659745187953E+03,  3.047869239595500E+08,  2.810706743093872E-01,
2462974.500000000, A.D. 2031-Apr-18 00:00:00.0000, -2.723364900369168E+08, -1.364223739960389E+08,  1.148742573965817E+07,  9.417197318770578E+00, -1.962357547803083E+01, -2.012374961220941E+00,  1.016742479037977E+03,  3.048117269438086E+08,  2.930703558970080E-01,
2462975.500000000, A.D. 2031-Apr-19 00:00:00.0000, -2.715180853286347E+08, -1.381154554459676E+08,  1.131335662073375E+07,  9.527296233781229E+00, -1.956801287513846E+01, -2.016990849661875E+00,  1.016828669326859E+03,  3.048375661423683E+08,  3.050570277841148E-01,
2462976.500000000, A.D. 2031-Apr-20 00:00:00.0000, -2.706901836639251E+08, -1.398037073298522E+08,  1.113889178687544E+07,  9.637033475917283E+00, -1.951178044686629E+01, -2.021535000804995E+00,  1.016918312228605E+03,  3.048644404082250E+08,  3.170301585839793E-01,
2462977.500000000, A.D. 2031-Apr-21 00:00:00.0000, -2.698528164975512E+08, -1.414870718995611E+08,  1.096403744345883E+07,  9.746404276125547E+00, -1.945488108853884E+01, -2.026007247103940E+00,  1.017011403764278E+03,  3.048923485485232E+08,  3.289892183087083E-01,
2462978.500000000, A.D. 2031-Apr-22 00:00:00.0000, -2.690060156950929E+08, -1.431654916588939E+08,  1.078879981012500E+07,  9.855403893889093E+00, -1.939731773650616E+01, -2.030407425887859E+00,  1.017107939802404E+03,  3.049212893246785E+08,  3.409336784224654E-01,
2462979.500000000, A.D. 2031-Apr-23 00:00:00.0000, -2.681498135304621E+08, -1.448389093671103E+08,  1.061318512035876E+07,  9.964027617670174E+00, -1.933909336779321E+01, -2.034735379371617E+00,  1.017207916059402E+03,  3.049512614525058E+08,  3.528630118941096E-01,
