JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2461922.500000000, A.D. 2028-May-31 00:00:00.0000,  9.744834204151869E+07, -3.809502590572211E+08, -2.004145217093468E+06,  1.660745049075658E+01,  3.580203073910227E+00, -7.428684065754898E-02,  1.311646365389995E+03,  3.932216879070327E+08,  6.475688315896612E-01,
2461923.500000000, A.D. 2028-Jun-01 00:00:00.0000,  9.888242837615734E+07, -3.806378268268189E+08, -2.010547262460321E+06,  1.658894866428578E+01,  3.652009605618221E+00, -7.390847857177718E-02,  1.311831432501961E+03,  3.932771696314240E+08,  6.367293708474112E-01,
2461924.500000000, A.D. 2028-Jun-02 00:00:00.0000,  1.003149048117964E+08, -3.803191943764808E+08, -2.016916571949780E+06,  1.657018437556822E+01,  3.723726584910280E+00, -7.352906645341539E-02,  1.312013374851699E+03,  3.933317145756662E+08,  6.258841236738678E-01,
2461925.500000000, A.D. 2028-Jun-03 00:00:00.0000,  1.017457486886111E+08, -3.799943694690863E+08, -2.023253055029780E+06,  1.655115801579848E+01,  3.795353420490263E+00, -7.314860871774820E-02,  1.312192190786905E+03,  3.933853222444112E+08,  6.150331964981752E-01,
2461926.500000000, A.D. 2028-Jun-04 00:00:00.0000,  1.031749373804934E+08, -3.796633599185610E+08, -2.029556621549040E+06,  1.653186997426449E+01,  3.866889522044008E+00, -7.276710976303025E-02,  1.312367878685910E+03,  3.934379921514947E+08,  6.041766954778791E-01,
2461927.500000000, A.D. 2028-Jun-05 00:00:00.0000,  1.046024482948877E+08, -3.793261735897918E+08, -2.035827181735843E+06,  1.651232063835231E+01,  3.938334300201126E+00, -7.238457397099851E-02,  1.312540436957600E+03,  3.934897238199130E+08,  5.933147265091168E-01,
2461928.500000000, A.D. 2028-Jun-06 00:00:00.0000,  1.060282588726265E+08, -3.789828183985486E+08, -2.042064646196067E+06,  1.649251039355099E+01,  4.009687166497162E+00, -7.200100570736989E-02,  1.312709864041347E+03,  3.935405167818013E+08,  5.824473952364538E-01,
2461929.500000000, A.D. 2028-Jun-07 00:00:00.0000,  1.074523465877667E+08, -3.786333023114063E+08, -2.048268925912261E+06,  1.647243962345765E+01,  4.080947533335895E+00, -7.161640932235280E-02,  1.312876158406932E+03,  3.935903705784114E+08,  5.715748070626582E-01,
2461930.500000000, A.D. 2028-Jun-08 00:00:00.0000,  1.088746889474266E+08, -3.782776333456721E+08, -2.054439932241946E+06,  1.645210870978254E+01,  4.152114813951704E+00, -7.123078915116610E-02,  1.313039318554479E+03,  3.936392847600921E+08,  5.606970671583716E-01,
2461931.500000000, A.D. 2028-Jun-09 00:00:00.0000,  1.102952634916229E+08, -3.779158195693154E+08, -2.060577576916933E+06,  1.643151803235437E+01,  4.223188422371877E+00, -7.084414951459439E-02,  1.313199343014390E+03,  3.936872588862693E+08,  5.498142804719069E-01,
2461932.500000000, A.D. 2028-Jun-10 00:00:00.0000,  1.117140477931082E+08, -3.775478691009004E+08, -2.066681772041559E+06,  1.641066796912571E+01,  4.294167773378805E+00, -7.045649471956938E-02,  1.313356230347285E+03,  3.937342925254269E+08,  5.389265517391253E-01,
2461933.500000000, A.D. 2028-Jun-11 00:00:00.0000,  1.131310194572097E+08, -3.771737901095232E+08, -2.072752430091619E+06,  1.638955889617856E+01,  4.365052282471968E+00, -7.006782905980047E-02,  1.313509979143937E+03,  3.937803852550895E+08,  5.280339854935699E-01,
2461934.500000000, A.D. 2028-Jun-12 00:00:00.0000,  1.145461561216672E+08, -3.767935908147511E+08, -2.078789463913530E+06,  1.636819118773008E+01,  4.435841365829548E+00, -6.967815681645728E-02,  1.313660588025216E+03,  3.938255366618050E+08,  5.171366860769347E-01,
2461935.500000000, A.D. 2028-Jun-13 00:00:00.0000,  1.159594354564727E+08, -3.764072794865653E+08, -2.084792786722898E+06,  1.634656521613871E+01,  4.506534440269596E+00, -6.928748225894377E-02,  1.313808055642041E+03,  3.938697463411282E+08,  5.062347576500603E-01,
2461936.500000000, A.D. 2028-Jun-14 00:00:00.0000,  1.173708351637098E+08, -3.760148644453081E+08, -2.090762312103927E+06,  1.632468135191061E+01,  4.577130923210611E+00, -6.889580964575726E-02,  1.313952380675322E+03,  3.939130138976064E+08,  4.953283042045130E-01,
2461937.500000000, A.D. 2028-Jun-15 00:00:00.0000,  1.187803329773941E+08, -3.756163540616324E+08, -2.096697954008013E+06,  1.630253996370660E+01,  4.647630232631394E+00, -6.850314322546946E-02,  1.314093561835918E+03,  3.939553389447649E+08,  4.844174295749901E-01,
2461938.500000000, A.D. 2028-Jun-16 00:00:00.0000,  1.201879066633141E+08, -3.752117567564545E+08, -2.102599626753688E+06,  1.628014141834979E+01,  4.718031787030031E+00, -6.810948723785470E-02,  1.314231597864591E+03,  3.939967211050934E+08,  4.735022374527009E-01,
2461939.500000000, A.D. 2028-Jun-17 00:00:00.0000,  1.215935340188725E+08, -3.748010810009121E+08, -2.108467245025128E+06,  1.625748608083410E+01,  4.788335005381887E+00, -6.771484591519616E-02,  1.314366487531970E+03,  3.940371600100356E+08,  4.625828313999116E-01,
2461940.500000000, A.D. 2028-Jun-18 00:00:00.0000,  1.229971928729292E+08, -3.743843353163241E+08, -2.114300723871946E+06,  1.623457431433393E+01,  4.858539307096391E+00, -6.731922348379360E-02,  1.314498229638511E+03,  3.940766552999775E+08,  4.516593148659624E-01,
2461941.500000000, A.D. 2028-Jun-19 00:00:00.0000,  1.243988610856437E+08, -3.739615282741552E+08, -2.120099978708804E+06,  1.621140648021527E+01,  4.928644111972619E+00, -6.692262416573858E-02,  1.314626823014471E+03,  3.941152066242393E+08,  4.407317912048634E-01,
2461942.500000000, A.D. 2028-Jun-20 00:00:00.0000,  1.257985165483203E+08, -3.735326684959844E+08, -2.125864925314993E+06,  1.618798293804868E+01,  4.998648840153276E+00, -6.652505218097016E-02,  1.314752266519884E+03,  3.941528136410670E+08,  4.298003636949518E-01,
2461943.500000000, A.D. 2028-Jun-21 00:00:00.0000,  1.271961371832528E+08, -3.730977646534771E+08, -2.131595479834378E+06,  1.616430404562469E+01,  5.068552912077327E+00, -6.612651174969297E-02,  1.314874559044537E+03,  3.941894760176278E+08,  4.188651355606525E-01,
2461944.500000000, A.D. 2028-Jun-22 00:00:00.0000,  1.285917009435721E+08, -3.726568254683621E+08, -2.137291558775663E+06,  1.614037015897207E+01,  5.138355748430877E+00, -6.572700709519852E-02,  1.314993699507964E+03,  3.942251934300060E+08,  4.079262099968556E-01,
2461945.500000000, A.D. 2028-Jun-23 00:00:00.0000,  1.299851858130946E+08, -3.722098597124115E+08, -2.142953079012573E+06,  1.611618163237994E+01,  5.208056770096776E+00, -6.532654244714498E-02,  1.315109686859438E+03,  3.942599655632012E+08,  3.969836901958576E-01,
2461946.500000000, A.D. 2028-Jun-24 00:00:00.0000,  1.313765698061729E+08, -3.717568762074268E+08, -2.148579957784802E+06,  1.609173881842419E+01,  5.277655398102284E+00, -6.492512204539458E-02,  1.315222520077975E+03,  3.942937921111304E+08,  3.860376793777209E-01,
2461947.500000000, A.D. 2028-Jun-25 00:00:00.0000,  1.327658309675496E+08, -3.712978838252286E+08, -2.154172112698853E+06,  1.606704206799959E+01,  5.347151053566209E+00, -6.452275014442366E-02,  1.315332198172346E+03,  3.943266727766308E+08,  3.750882808233102E-01,
2461948.500000000, A.D. 2028-Jun-26 00:00:00.0000,  1.341529473722130E+08, -3.708328914876505E+08, -2.159729461729646E+06,  1.604209173035872E+01,  5.416543157645049E+00, -6.411943101841855E-02,  1.315438720181103E+03,  3.943586072714671E+08,  3.641355979108972E-01,
2461949.500000000, A.D. 2028-Jun-27 00:00:00.0000,  1.355378971252577E+08, -3.703619081665385E+08, -2.165251923222542E+06,  1.601688815315855E+01,  5.485831131479682E+00, -6.371516896703788E-02,  1.315542085172607E+03,  3.943895953163413E+08,  3.531797341554231E-01,
2461950.500000000, A.D. 2028-Jun-28 00:00:00.0000,  1.369206583617491E+08, -3.698849428837547E+08, -2.170739415895671E+06,  1.599143168251685E+01,  5.555014396143213E+00, -6.330996832197955E-02,  1.315642292245080E+03,  3.944196366409069E+08,  3.422207932507593E-01,
2461951.500000000, A.D. 2028-Jun-29 00:00:00.0000,  1.383012092465926E+08, -3.694020047111853E+08, -2.176191858842939E+06,  1.596572266307915E+01,  5.624092372592486E+00, -6.290383345418538E-02,  1.315739340526658E+03,  3.944487309837856E+08,  3.312588791131122E-01,
2461952.500000000, A.D. 2028-Jun-30 00:00:00.0000,  1.396795279744107E+08, -3.689131027707521E+08, -2.181609171538144E+06,  1.593976143809820E+01,  5.693064481625231E+00, -6.249676878175148E-02,  1.315833229175461E+03,  3.944768780925887E+08,  3.202940959248144E-01,
2461953.500000000, A.D. 2028-Jul-01 00:00:00.0000,  1.410555927694257E+08, -3.684182462344285E+08, -2.186991273838833E+06,  1.591354834952645E+01,  5.761930143846180E+00, -6.208877877826646E-02,  1.315923957379681E+03,  3.945040777239419E+08,  3.093265481758983E-01,
2461954.500000000, A.D. 2028-Jul-02 00:00:00.0000,  1.424293818853524E+08, -3.679174443242562E+08, -2.192338085992113E+06,  1.588708373812328E+01,  5.830688779646710E+00, -6.167986798140079E-02,  1.316011524357671E+03,  3.945303296435130E+08,  2.983563407002807E-01,
2461955.500000000, A.D. 2028-Jul-03 00:00:00.0000,  1.438008736052998E+08, -3.674107063123651E+08, -2.197649528639898E+06,  1.586036794357531E+01,  5.899339809202730E+00, -6.127004100118416E-02,  1.316095929358050E+03,  3.945556336260441E+08,  2.873835787020786E-01,
2461956.500000000, A.D. 2028-Jul-04 00:00:00.0000,  1.451700462416843E+08, -3.668980415209902E+08, -2.202925522826016E+06,  1.583340130462920E+01,  5.967882652497672E+00, -6.085930252736826E-02,  1.316177171659812E+03,  3.945799894553829E+08,  2.764083677660729E-01,
2461957.500000000, A.D. 2028-Jul-05 00:00:00.0000,  1.465368781361546E+08, -3.663794593224863E+08, -2.208165990003049E+06,  1.580618415923305E+01,  6.036316729376517E+00, -6.044765733502988E-02,  1.316255250572434E+03,  3.946033969245159E+08,  2.654308138458358E-01,
2461958.500000000, A.D. 2028-Jul-06 00:00:00.0000,  1.479013476595286E+08, -3.658549691393365E+08, -2.213370852039948E+06,  1.577871684467962E+01,  6.104641459640117E+00, -6.003511028702713E-02,  1.316330165435977E+03,  3.946258558355981E+08,  2.544510232190926E-01,
2461959.500000000, A.D. 2028-Jul-07 00:00:00.0000,  1.492634332117429E+08, -3.653245804441503E+08, -2.218540031229645E+06,  1.575099969774245E+01,  6.172856263184070E+00, -5.962166633215693E-02,  1.316401915621168E+03,  3.946473659999785E+08,  2.434691024034065E-01,
2461960.500000000, A.D. 2028-Jul-08 00:00:00.0000,  1.506231132218135E+08, -3.647883027596471E+08, -2.223673450295925E+06,  1.572303305478993E+01,  6.240960560188755E+00, -5.920733049708904E-02,  1.316470500529452E+03,  3.946679272382148E+08,  2.324851580206959E-01,
